DateTime,Entries,UniqueIPs
1470312510,20,5120
1470314299,20,5120
1470316653,20,5120
1470317907,20,5120
1470319711,20,5120
1470321515,20,5120
1470323297,20,5120
1470325107,20,5120
1470325998,20,5120
1470326902,20,5120
1470328704,20,5120
1470331048,20,5120
1470332294,20,5120
1470334100,20,5120
1470335895,20,5120
1470338271,20,5120
1470339508,20,5120
1470341854,19,5120
1470343107,20,5120
1470345440,20,5120
1470346734,20,5120
1470348537,20,5120
1470350301,20,5120
1470352674,20,5120
1470353900,20,5120
1470355700,19,5120
1470357516,19,5120
1470359336,20,5120
1470361115,19,5120
1470363579,19,5120
1470364700,19,5120
1470367149,19,5120
1470368302,20,5120
1470370771,20,5120
1470371909,20,5120
1470374370,20,5120
1470375505,20,5120
1470377801,19,5120
1470379117,20,5120
1470381586,20,5120
1470382700,20,5120
1470385036,20,5120
1470386302,20,5120
1470388100,20,5120
1470389897,20,5120
1470392345,19,5120
1470393498,20,5120
1470395326,19,5120
1470397130,20,5120
1470398956,19,5120
1470400710,20,5120
1470403022,20,5120
1470404297,20,5120
1470406108,20,5120
1470407900,20,5120
1470410227,20,5120
1470411501,20,5120
1470413870,20,5120
1470415099,20,5120
1470417430,20,5120
1470418710,20,5120
1470420517,20,5120
1470422340,20,5120
1470424642,20,5120
1470425928,20,5120
1470428266,19,5120
1470429503,20,5120
1470431895,20,5120
1470433109,20,5120
1470434899,20,5120
1470436700,20,5120
1470438504,20,5120
1470440307,20,5120
1470442104,20,5120
1470443902,20,5120
1470446371,20,5120
1470447501,20,5120
1470449912,20,5120
1470451101,20,5120
1470453466,20,5120
1470454702,20,5120
1470456534,20,5120
1470458309,20,5120
1470460709,19,5120
1470461904,20,5120
1470464331,20,5120
1470465602,20,5120
1470467295,20,5120
1470469104,20,5120
1470471423,20,5120
1470472704,20,5120
1470474501,20,5120
1470476297,20,5120
1470478766,20,5120
1470479900,20,5120
1470481707,20,5120
1470483511,20,5120
1470485843,20,5120
1470487105,20,5120
1470489424,20,5120
1470490742,20,5120
1470492502,20,5120
1470494306,20,5120
1470496695,20,5120
1470497911,20,5120
1470500310,20,5120
1470501514,20,5120
1470503850,19,5120
1470505101,20,5120
1470506947,20,5120
1470508835,20,5120
1470510590,20,5120
1470512308,20,5120
1470514641,20,5120
1470515912,20,5120
1470518282,20,5120
1470519634,20,5120
1470521535,20,5120
1470522713,20,5120
1470525508,20,5120
1470526866,20,5120
1470528680,20,5120
1470529311,20,5120
1470529774,20,5120
1470530416,20,5120
1470532757,20,5120
1470533913,20,5120
1470534907,20,5120
1470536251,19,5120
1470537618,20,5120
1470539466,20,5120
1470541289,20,5120
1470543561,20,5120
1470544880,20,5120
1470547115,20,5120
1470548487,19,5120
1470550617,20,5120
1470552013,19,5120
1470554354,20,5120
1470555588,20,5120
1470557802,20,5120
1470559289,20,5120
1470561080,19,5120
1470562698,20,5120
1470564501,20,5120
1470566420,20,5120
1470568376,20,5120
1470570100,20,5120
1470571727,20,5120
1470573509,19,5120
1470575823,20,5120
1470577096,20,5120
1470578897,20,5120
1470580714,20,5120
1470583184,20,5120
1470584295,20,5120
1470586624,19,5120
1470587997,20,5120
1470589831,20,5120
1470591608,20,5120
1470593415,20,5120
1470595285,20,5120
1470596554,20,5120
1470598866,20,5120
1470600510,20,5120
1470602509,20,5120
1470604651,20,5120
1470606078,20,5120
1470607698,20,5120
1470609870,20,5120
1470611416,20,5120
1470613281,20,5120
1470614993,20,5120
1470616265,20,5120
1470619174,19,5120
1470620318,20,5120
1470622096,19,5120
1470624084,20,5120
1470625859,20,5120
1470627772,20,5120
1470629941,20,5120
1470631111,20,5120
1470633092,20,5120
1470634712,20,5120
1470637025,20,5120
1470638423,20,5120
